k,s_k
0.1,1.9385408660322392
0.2,1.9427771594812566
0.30000000000000004,1.949212482291712
0.4,1.9569813711287258
0.5,1.9650070788742706
0.6,1.972115263424973
0.7000000000000001,1.9771531412842815
0.8,1.9790990970519515
0.9,1.9771493233754716
1.0,1.9707714644373349
1.1,1.9597199699505754
1.2000000000000002,1.9440132718647813
1.3000000000000003,1.9238782166349901
1.4000000000000001,1.8996716794893689
1.5000000000000002,1.8717923279387227
1.6,1.840596667938411
1.7000000000000002,1.8063326383145724
1.8000000000000003,1.7691012426938042
1.9000000000000001,1.7288524159572154
2.0,1.685416119736389
2.1,1.6385642830297429
2.2,1.5880944108673607
2.3000000000000003,1.5339221585237648
2.4000000000000004,1.4761684199064184
2.5000000000000004,1.4152267708024773
2.6,1.3517994233658905
2.7,1.2868938902105185
2.8000000000000003,1.2217777873526197
2.9000000000000004,1.1578949205592082
3.0000000000000004,1.0967512236814996
3.1,1.0397835087728713
3.2,0.9882267396440154
3.3000000000000003,0.9429962636556286
3.4000000000000004,0.9046000115891535
3.5000000000000004,0.873092269032224
3.6,0.8480756651542465
3.7,0.8287521521920693
3.8000000000000003,0.8140177184339511
3.9000000000000004,0.8025901662096646
4.0,0.7931551891851683
4.1,0.7845137217140905
4.2,0.7757133884801369
4.3,0.7661488617931791
4.3999999999999995,0.7556197706887401
4.5,0.7443399998187671
4.6,0.7328981000191683
4.7,0.7221743619369465
4.8,0.7132251547121633
4.9,0.7071487918340216
5.0,0.7049490333888927
5.1,0.7074121842993187
5.2,0.7150116744117725
5.3,0.7278503209431242
5.4,0.745645682186344
5.5,0.7677586409582253
5.6,0.793260272303041
5.7,0.8210277691720629
5.8,0.8498572134645821
5.9,0.8785795961104402
6.0,0.9061668023046602
6.1,0.9318161631409313
6.2,0.9550053184487224
6.3,0.9755130822478871
6.4,0.9934062212077359
6.5,1.008996014104517
6.6,1.0227716885560647
6.7,1.0353199844290149
6.8,1.0472409844859418
6.9,1.0590699680358029
7.0,1.0712135311603896
7.1,1.0839058575793117
7.2,1.0971881823064982
7.3,1.1109115609796791
7.4,1.12476041149611
7.5,1.1382922298945348
7.6,1.1509875923970891
7.7,1.1623041116763684
7.8,1.1717283698713916
7.9,1.1788208552985282
8.0,1.1832503669396575
8.1,1.184815973074235
8.2,1.1834561792911584
8.3,1.1792462810709556
8.4,1.1723858187579583
8.5,1.1631785677984772
8.6,1.1520076099473533
8.7,1.1393078279610869
8.8,1.125537770705555
8.9,1.1111523809221149
9.0,1.0965776802986136
9.1,1.0821882436581187
9.2,1.068288192756355
9.3,1.055096474523554
9.4,1.042737289136443
9.5,1.0312366046357868
9.6,1.0205256383963546
9.700000000000001,1.0104519237625686
9.8,1.0007980755987667
9.9,0.9913076380188857
10.0,0.9817165142351103
10.1,0.9717875637542303
10.200000000000001,0.9613451580081805
10.3,0.9503059694170968
10.4,0.9387021658483145
10.5,0.9266935785891608
10.6,0.9145663244229058
10.700000000000001,0.9027167291284025
10.8,0.8916210815183792
10.9,0.8817935422928969
11.0,0.8737362019190559
11.1,0.867886584094666
11.200000000000001,0.8645686158916805
11.3,0.8639530876302588
11.4,0.8660328510916202
11.5,0.8706165044951716
11.6,0.8773422408279905
11.700000000000001,0.8857111340563273
11.8,0.8951367048741479
11.9,0.9050054624006504
12.0,0.9147415548984236
12.1,0.9238679097676701
12.200000000000001,0.9320564299760976
12.3,0.9391609494099622
12.4,0.9452286165343715
12.5,0.9504879439253194
12.6,0.9553146148610318
12.700000000000001,0.9601789161676603
12.8,0.9655810098600445
12.9,0.9719818556744191
13.0,0.9797382350980693
13.1,0.9890499097663665
13.200000000000001,0.9999255141670985
13.3,1.012171507822057
13.4,1.025405679510346
13.5,1.0390936637256398
13.6,1.0526040829147303
13.700000000000001,1.0652756305988573
13.8,1.0764879522046897
13.9,1.085727745667778
14.0,1.0926421436339557
14.1,1.0970730659448857
14.200000000000001,1.099068631364912
14.3,1.0988705799933736
14.4,1.0968796151676221
14.5,1.0936032507457674
14.6,1.0895928123127985
14.700000000000001,1.085377438709108
14.8,1.0814031278995004
14.9,1.0779840636383424
15.0,1.0752717703494483
15.1,1.0732453068066974
15.200000000000001,1.0717230355137144
15.3,1.0703938402319868
15.4,1.0688633444362239
15.5,1.0667089904115827
15.6,1.0635369654197475
15.700000000000001,1.0590339900442425
15.8,1.0530078786145063
15.9,1.045412397214913
16.0,1.0363540492168435
16.1,1.0260807261518312
16.200000000000003,1.0149543734317348
16.3,1.003411661521328
16.400000000000002,0.9919179091339058
16.500000000000004,0.9809200464322914
16.6,0.9708042017225392
16.700000000000003,0.961862610821113
16.8,0.9542731341977193
16.900000000000002,0.9480929331269835
17.000000000000004,0.943266041567251
17.1,0.9396429105537705
17.200000000000003,0.9370086970785602
17.3,0.9351162611392982
17.400000000000002,0.933719590087426
17.500000000000004,0.9326036774443084
17.6,0.9316076611906745
17.700000000000003,0.930639135778129
17.8,0.9296788213939764
17.900000000000002,0.9287760246397583
18.000000000000004,0.9280363956622649
18.1,0.9276042551271187
18.200000000000003,0.9276421596658445
18.3,0.9283103836522191
18.400000000000002,0.9297486600104317
18.500000000000004,0.9320619286794627
18.6,0.9353111013771028
18.700000000000003,0.9395090870091662
18.8,0.9446216448469423
18.900000000000002,0.9505721279264631
19.000000000000004,0.9572488960559796
19.1,0.9645141249214532
19.200000000000003,0.9722128857463846
19.300000000000004,0.9801816600311453
19.400000000000002,0.9882558103950645
19.500000000000004,0.9962758732917264
19.6,1.004092805509753
19.700000000000003,1.0115724594093576
19.800000000000004,1.0185995661828946
19.900000000000002,1.0250813865445363
20.000000000000004,1.0309509845206908
20.1,1.036169850042008
20.200000000000003,1.0407294031675183
20.300000000000004,1.0446508137064456
20.400000000000002,1.0479826037445688
20.500000000000004,1.0507956805218108
20.6,1.053175757626345
20.700000000000003,1.0552135206194682
20.800000000000004,1.0569933152257005
20.900000000000002,1.0585815078545613
21.000000000000004,1.0600159171463015
21.1,1.061297783633891
21.200000000000003,1.062387599787794
21.300000000000004,1.0632057640000765
21.400000000000002,1.0636384828771477
21.500000000000004,1.0635486906987086
21.6,1.0627910696814395
21.700000000000003,1.061229636753408
21.800000000000004,1.0587559051325046
21.900000000000002,1.0553054074941353
22.000000000000004,1.0508704275289156
22.1,1.0455071361688975
22.200000000000003,1.039335935308935
22.300000000000004,1.032534605863218
22.400000000000002,1.0253247402072245
22.500000000000004,1.0179527973811624
22.6,1.0106678383641818
22.700000000000003,1.0036984791068781
22.800000000000004,0.9972317709522885
22.900000000000002,0.9913965511036554
23.000000000000004,0.9862533136831226
23.1,0.9817918915524061
