k,s_k
0.1,-94.21288384622812
0.2,-90.16897709724958
0.30000000000000004,-83.67456876373168
0.4,-75.08024094719168
0.5,-64.84305534176451
0.6,-53.49592839699921
0.7000000000000001,-41.61243291391844
0.8,-29.769673927971287
0.9,-18.511989996701185
1.0,-8.318111847251714
1.1,0.42591799130534225
1.2000000000000002,7.446267457649755
1.3000000000000003,12.59212096045259
1.4000000000000001,15.837326055204347
1.5000000000000002,17.273167370663064
1.6,17.093237019127756
1.7000000000000002,15.571950486169037
1.8000000000000003,13.038688319648386
1.9000000000000001,9.849795444463494
2.0,6.360726806986894
2.1,2.900492910781541
2.2,-0.24974907722464623
2.3000000000000003,-2.8725598870636673
2.4000000000000004,-4.823680920524615
2.5000000000000004,-6.034822309417885
2.6,-6.510078173876964
2.7,-6.316786433256622
2.8000000000000003,-5.572064342477305
2.9000000000000004,-4.42653199868273
3.0000000000000004,-3.0468667081238836
3.1,-1.5988081385598965
3.2,-0.23206857165237293
3.3000000000000003,0.9316822364399746
3.4000000000000004,1.8069589043864525
3.5000000000000004,2.348347811219883
3.6,2.5501815237007404
3.7,2.4424299583164197
3.8000000000000003,2.083557511954858
3.9000000000000004,1.5513206123251169
4.0,0.9325958418261018
4.1,0.3133311788735105
4.2,-0.23039067085183929
4.3,-0.6393802329567471
4.3999999999999995,-0.87592022731966
4.5,-0.9256460049883235
4.6,-0.7967719540859248
4.7,-0.51697610509289
4.8,-0.1284714921919372
4.9,0.31806066754818696
5.0,0.7699344635706613
5.1,1.1785930165838805
5.2,1.504775686595242
5.3,1.7222321326413876
5.4,1.8196876177179115
5.5,1.8009732850833735
5.6,1.683439619194052
5.7,1.4949496703378489
5.8,1.269883581580994
5.9,1.0446658046201833
6.0,0.8533459267011823
6.1,0.7237247534136649
6.2,0.674426883155109
6.3,0.7131921869622646
6.4,0.8365075082407875
6.5,1.0305441723908395
6.6,1.2732237451535522
6.7,1.5371188230869062
6.8,1.7928186354646758
6.9,2.0123572588168557
7.0,2.1723164364233045
7.1,2.256271401751892
7.2,2.256338356195818
7.3,2.1736946852540466
7.4,2.0180640906701246
7.5,1.806274752581441
7.6,1.560096832604616
7.7,1.303636059771329
7.8,1.0605963203838804
7.9,0.8517237062033697
8.0,0.6927091389250579
8.1,0.5927620446883095
8.2,0.5539821643447005
8.3,0.5715609378226084
8.4,0.634749152064098
8.5,0.7284442544861421
8.6,0.8351877264965952
8.7,0.9373263516386197
8.8,1.0190840413279592
8.9,1.0683126198307153
9.0,1.077736918328797
9.1,1.0455753097768334
9.2,0.9754932050897329
9.3,0.8759249477287919
9.4,0.7588701101344968
9.5,0.6383257252910991
9.6,0.5285508027629469
9.700000000000001,0.44237047315638445
9.8,0.38971399008712726
9.9,0.3765460491449917
10.0,0.404299273787604
10.1,0.46985380867838655
10.200000000000001,0.5660452114893555
10.3,0.6826217441866134
10.4,0.807523421518726
10.5,0.9283229234255554
10.6,1.0336557949770424
10.700000000000001,1.1144749730240289
10.8,1.1649909799301787
10.9,1.1832004217014802
11.0,1.170956447642405
11.1,1.1335893720968417
11.200000000000001,1.0791373398461757
11.3,1.0172898981878915
11.4,0.9581769806136841
11.5,0.9111491565512609
11.6,0.8836910744726528
11.700000000000001,0.8805898531114642
11.8,0.90344661995946
11.9,0.9505767632042734
12.0,1.0172979611469586
12.1,1.0965601665133575
12.200000000000001,1.1798335746549578
12.3,1.2581433785973442
12.4,1.323126604855058
12.5,1.3679876592629623
12.6,1.3882447740398938
12.700000000000001,1.3821870978608912
12.8,1.3509981585793294
12.9,1.2985414375080035
13.0,1.2308430788677593
13.1,1.1553407986736073
13.200000000000001,1.079993075030684
13.3,1.0123560719095475
13.4,0.9587362693627203
13.5,0.9235147633757299
13.6,0.9087164159696244
13.700000000000001,0.9138664335507184
13.8,0.9361423012889418
13.9,0.9707944364818822
14.0,1.0117784500766376
14.1,1.0525189415330436
14.200000000000001,1.0867117508346333
14.3,1.1090697825235154
14.4,1.115926798325929
14.5,1.1056325619558327
14.6,1.0786989385878043
14.700000000000001,1.0376867566075525
14.8,0.9868538095470193
14.9,0.9316117449952805
15.0,0.8778606547676248
15.1,0.8312826607136976
15.200000000000001,0.7966784552699931
15.3,0.7774235503770088
15.4,0.7751050071879042
15.5,0.7893767494574453
15.6,0.8180450181790412
15.700000000000001,0.8573682966252645
15.8,0.9025313157047101
15.9,0.9482333602409491
16.0,0.9893191678871491
16.1,1.0213774532807354
16.200000000000003,1.0412376707456952
16.3,1.0473091854234464
16.400000000000002,1.0397267826160808
16.500000000000004,1.0202899551830213
16.6,0.9922078368951831
16.700000000000003,0.9596841231940233
16.8,0.9273942622713017
16.900000000000002,0.899918619419787
17.000000000000004,0.8811990330618382
17.1,0.8740819340276547
17.200000000000003,0.8799996670683122
17.3,0.8988243459681556
17.400000000000002,0.9289076409885421
17.500000000000004,0.967297864177939
17.6,1.0101051806823296
17.700000000000003,1.052969096727858
17.8,1.0915714190117825
17.900000000000002,1.1221337990102032
18.000000000000004,1.1418420951380484
18.1,1.1491495845996753
18.200000000000003,1.1439262460506745
18.3,1.1274400237810405
18.400000000000002,1.1021759163263485
18.500000000000004,1.0715175530531242
18.6,1.0393314573223462
18.700000000000003,1.0095047001403858
18.8,0.9854910037631109
18.900000000000002,0.9699181821614042
19.000000000000004,0.9643014963828268
19.1,0.9688941577520881
19.200000000000003,0.9826894957755554
19.300000000000004,1.0035712448217275
19.400000000000002,1.0285911337304032
19.500000000000004,1.0543384882176674
19.6,1.0773565121975233
19.700000000000003,1.0945553845991904
19.800000000000004,1.1035737100058967
19.900000000000002,1.1030469097705204
20.000000000000004,1.0927528960869541
