r,g_r,pair_counts,shell_volume,coordination_number
0.0125,0.0,0.0,6.544984694978737e-05,0.0
0.037500000000000006,0.0,0.0,0.00045814892864851157,0.0
0.0625,0.0,0.0,0.0012435470920459603,0.0
0.08750000000000001,0.0,0.0,0.0024216443371421325,0.0
0.1125,0.0,0.0,0.003992440663937028,0.0
0.1375,0.0,0.0,0.005955936072430656,0.0
0.16250000000000003,0.0,0.0,0.008312130562622993,0.0
0.1875,0.0,0.0,0.011061024134514066,0.0
0.21250000000000002,0.0,0.0,0.014202616788103854,0.0
0.2375,0.0,0.0,0.017736908523392367,0.0
0.2625,0.0,0.0,0.02166389934037964,0.0
0.28750000000000003,0.0,0.0,0.02598358923906561,0.0
0.3125,0.0,0.0,0.030695978219450214,0.0
0.3375,0.0,0.0,0.03580106628153372,0.0
0.36250000000000004,0.0,0.0,0.04129885342531578,0.0
0.3875,0.0,0.0,0.04718933965079675,0.0
0.41250000000000003,0.0,0.0,0.053472524957976275,0.0
0.4375,0.0,0.0,0.06014840934685455,0.0
0.4625,0.0,0.0,0.06721699281743168,0.0
0.48750000000000004,0.0,0.0,0.07467827536970725,0.0
0.5125,0.0,0.0,0.08253225700368191,0.0
0.5375000000000001,0.0,0.0,0.0907789377193552,0.0
0.5625,0.0,0.0,0.099418317516727,0.0
0.5875000000000001,0.0,0.0,0.10845039639579787,0.0
0.6125,0.0,0.0,0.11787517435656657,0.0
0.6375,0.0,0.0,0.12769265139903516,0.0
0.6625000000000001,0.0,0.0,0.13790282752320213,0.0
0.6875,0.0,0.0,0.14850570272906763,0.0
0.7125000000000001,0.0,0.0,0.15950127701663208,0.0
0.7375,0.0,0.0,0.17088955038589412,0.0
0.7625,0.0,0.0,0.18267052283685675,0.0
0.7875000000000001,0.0,0.0,0.1948441943695172,0.0
0.8125,0.0,0.0,0.2074105649838764,0.0
0.8375000000000001,0.0,0.0,0.22036963467993384,0.0
0.8625,0.0,0.0,0.23372140345769005,0.0
0.8875,0.0,0.0,0.24746587131714637,0.0
0.9125000000000001,0.0,0.0,0.26160303825830006,0.0
0.9375,0.0,0.0,0.2761329042811534,0.0
0.9625000000000001,0.0,0.0,0.29105546938570453,0.0
0.9875,0.0,0.0,0.3063707335719535,0.0
1.0125000000000002,0.0,0.0,0.3220786968399049,0.0
1.0375,0.0,0.0,0.33817935918955044,0.0
1.0625,0.0,0.0,0.35467272062089655,0.0
1.0875,0.0,0.0,0.3715587811339451,0.0
1.1125,0.0,0.0,0.388837540728685,0.0
1.1375000000000002,0.0,0.0,0.406508999405131,0.0
1.1625,0.0,0.0,0.42457315716326927,0.0
1.1875,0.0,0.0,0.44303001400311376,0.0
1.2125000000000001,0.0,0.0,0.4618795699246476,0.0
1.2375,0.0,0.0,0.4811218249278849,0.0
1.2625000000000002,0.0,0.0,0.5007567790128256,0.0
1.2875,0.0,0.0,0.5207844321794557,0.0
1.3125,0.0,0.0,0.5412047844277957,0.0
1.3375000000000001,0.0,0.0,0.5620178357578214,0.0
1.3625,0.0,0.0,0.5832235861695533,0.0
1.3875000000000002,0.0,0.0,0.6048220356629876,0.0
1.4125,0.0,0.0,0.6268131842381115,0.0
1.4375,0.0,0.0,0.6491970318949452,0.0
1.4625000000000001,0.0,0.0,0.6719735786334646,0.0
1.4875,0.0,0.0,0.6951428244536884,0.0
1.5125000000000002,343.4750308926875,8.0,0.7187047693556182,0.9999999999999998
1.5375,0.0,0.0,0.7426594133392358,0.9999999999999998
1.5625,0.0,0.0,0.7670067564045613,0.9999999999999998
1.5875000000000001,0.0,0.0,0.7917467985515763,0.9999999999999998
1.6125,0.0,0.0,0.8168795397802918,0.9999999999999998
1.6375000000000002,0.0,0.0,0.8424049800907192,0.9999999999999998
1.6625,0.0,0.0,0.8683231194828248,0.9999999999999998
1.6875,0.0,0.0,0.8946339579566459,0.9999999999999998
1.7125000000000001,0.0,0.0,0.9213374955121564,0.9999999999999998
1.7375,0.0,0.0,0.9484337321493639,0.9999999999999998
1.7625000000000002,0.0,0.0,0.975922667868283,0.9999999999999998
1.7875,0.0,0.0,1.0038043026688879,0.9999999999999998
1.8125,0.0,0.0,1.032078636551201,0.9999999999999998
1.8375000000000001,0.0,0.0,1.0607456695151996,0.9999999999999998
1.8625,0.0,0.0,1.0898054015609062,0.9999999999999998
1.8875000000000002,0.0,0.0,1.119257832688321,0.9999999999999998
1.9125,0.0,0.0,1.14910296289741,0.9999999999999998
1.9375,0.0,0.0,1.1793407921882262,0.9999999999999998
1.9625000000000001,0.0,0.0,1.2099713205607128,0.9999999999999998
1.9875,0.0,0.0,1.2409945480149152,0.9999999999999998
2.0125,0.0,0.0,1.2724104745508105,0.9999999999999998
2.0375,0.0,0.0,1.304219100168429,0.9999999999999998
2.0625,0.0,0.0,1.3364204248677067,0.9999999999999998
2.0875000000000004,0.0,0.0,1.3690144486486966,0.9999999999999998
2.1125,0.0,0.0,1.4020011715113907,0.9999999999999998
2.1375,0.0,0.0,1.4353805934557815,0.9999999999999998
2.1625,0.0,0.0,1.4691527144818992,0.9999999999999998
2.1875,0.0,0.0,1.5033175345896617,0.9999999999999998
2.2125000000000004,0.0,0.0,1.5378750537791432,0.9999999999999998
2.2375,0.0,0.0,1.5728252720503366,0.9999999999999998
2.2625,0.0,0.0,1.6081681894032194,0.9999999999999998
2.2875,0.0,0.0,1.6439038058378288,0.9999999999999998
2.3125,0.0,0.0,1.6800321213540903,0.9999999999999998
2.3375000000000004,0.0,0.0,1.7165531359520638,0.9999999999999998
2.3625,0.0,0.0,1.753466849631749,0.9999999999999998
2.3875,0.0,0.0,1.790773262393161,0.9999999999999998
2.4125000000000005,0.0,0.0,1.8284723742362026,0.9999999999999998
2.4375,33.063039677343475,2.0,1.8665641851609784,1.2499999999999998
2.4625000000000004,0.0,0.0,1.905048695167451,1.2499999999999998
2.4875,0.0,0.0,1.943925904255628,1.2499999999999998
2.5125,0.0,0.0,1.9831958124255318,1.2499999999999998
2.5375000000000005,0.0,0.0,2.022858419677073,1.2499999999999998
2.5625,0.0,0.0,2.062913726010348,1.2499999999999998
2.5875000000000004,0.0,0.0,2.1033617314252977,1.2499999999999998
2.6125,0.0,0.0,2.144202435921981,1.2499999999999998
2.6375,0.0,0.0,2.1854358395003843,1.2499999999999998
2.6625000000000005,0.0,0.0,2.227061942160402,1.2499999999999998
2.6875,0.0,0.0,2.269080743902169,1.2499999999999998
2.7125000000000004,0.0,0.0,2.3114922447256405,1.2499999999999998
2.7375,0.0,0.0,2.354296444630786,1.2499999999999998
2.7625,0.0,0.0,2.397493343617696,1.2499999999999998
2.7875000000000005,12.64075969324825,1.0,2.4410829416862057,1.3749999999999998
2.8125,0.0,0.0,2.4850652388364645,1.3749999999999998
2.8375000000000004,0.0,0.0,2.5294402350684275,1.3749999999999998
2.8625,0.0,0.0,2.57420793038208,1.3749999999999998
2.8875,0.0,0.0,2.6193683247774815,1.3749999999999998
2.9125000000000005,11.579006662550752,1.0,2.664921418254483,1.4999999999999998
2.9375,0.0,0.0,2.710867210813234,1.4999999999999998
2.9625000000000004,0.0,0.0,2.757205702453674,1.4999999999999998
2.9875,0.0,0.0,2.803936893175833,1.4999999999999998
3.0125,0.0,0.0,2.8510607829797263,1.4999999999999998
3.0375000000000005,0.0,0.0,2.89857737186522,1.4999999999999998
3.0625,0.0,0.0,2.9464866598324773,1.4999999999999998
3.0875000000000004,0.0,0.0,2.994788646881409,1.4999999999999998
3.1125,0.0,0.0,3.043483333012045,1.4999999999999998
3.1375,0.0,0.0,3.092570718224445,1.4999999999999998
3.1625000000000005,0.0,0.0,3.1420508025184453,1.4999999999999998
3.1875,0.0,0.0,3.191923585894165,1.4999999999999998
3.2125000000000004,0.0,0.0,3.2421890683516033,1.4999999999999998
3.2375,0.0,0.0,3.2928472498907313,1.4999999999999998
