r,g_r,pair_counts,shell_volume,coordination_number
0.025,0.0,0.0,0.0005235987755982989,0.0
0.07500000000000001,0.0,0.0,0.0036651914291880926,0.0
0.125,0.0,0.0,0.009948376736367682,0.0
0.17500000000000002,0.0,0.0,0.01937315469713706,0.0
0.225,0.0,0.0,0.03193952531149622,0.0
0.275,0.0,0.0,0.04764748857944525,0.0
0.32500000000000007,0.0,0.0,0.06649704450098394,0.0
0.375,0.0,0.0,0.08848819307611253,0.0
0.42500000000000004,0.0,0.0,0.11362093430483083,0.0
0.475,0.0,0.0,0.14189526818713893,0.0
0.525,0.0,0.0,0.17331119472303713,0.0
0.5750000000000001,0.0,0.0,0.20786871391252487,0.0
0.625,0.0,0.0,0.2455678257556017,0.0
0.675,0.0,0.0,0.28640853025226976,0.0
0.7250000000000001,0.0,0.0,0.33039082740252623,0.0
0.775,0.0,0.0,0.377514717206374,0.0
0.8250000000000001,0.0,0.0,0.4277801996638102,0.0
0.875,0.0,0.0,0.4811872747748364,0.0
0.925,0.0,0.0,0.5377359425394534,0.0
0.9750000000000001,0.0,0.0,0.597426202957658,0.0
1.025,0.0,0.0,0.6602580560294553,0.0
1.0750000000000002,0.0,0.0,0.7262315017548416,0.0
1.125,0.0,0.0,0.795346540133816,0.0
1.1750000000000003,0.0,0.0,0.867603171166383,0.0
1.225,0.0,0.0,0.9430013948525325,0.0
1.275,0.0,0.0,1.0215412111922813,0.0
1.3250000000000002,0.0,0.0,1.103222620185617,0.0
1.375,0.0,0.0,1.188045621832541,0.0
1.4250000000000003,0.0,0.0,1.2760102161330567,0.0
1.475,0.0,0.0,1.367116403087153,0.0
1.525,0.0,0.0,1.461364182694854,0.0
1.5750000000000002,0.0,0.0,1.5587535549561375,0.0
1.625,0.0,0.0,1.659284519871011,0.0
1.6750000000000003,0.0,0.0,1.7629570774394707,0.0
1.725,0.0,0.0,1.8697712276615204,0.0
1.775,0.0,0.0,1.979726970537171,0.0
1.8250000000000002,0.0,0.0,2.0928243060664005,0.0
1.875,0.0,0.0,2.209063234249227,0.0
1.9250000000000003,0.0,0.0,2.3284437550856363,0.0
1.975,0.0,0.0,2.450965868575628,0.0
2.0250000000000004,0.0,0.0,2.5766295747192394,0.0
2.075,0.0,0.0,2.7054348735164035,0.0
2.125,0.0,0.0,2.8373817649671724,0.0
2.175,0.0,0.0,2.9724702490715607,0.0
2.225,0.0,0.0,3.11070032582948,0.0
2.2750000000000004,0.0,0.0,3.252071995241048,0.0
2.325,0.0,0.0,3.396585257306154,0.0
2.375,0.0,0.0,3.54424011202491,0.0
2.4250000000000003,0.0,0.0,3.695036559397181,0.0
2.475,0.0,0.0,3.8489745994230793,0.0
2.5250000000000004,0.0,0.0,4.0060542321026045,0.0
2.575,0.0,0.0,4.1662754574356455,0.0
2.625,0.0,0.0,4.329638275422366,0.0
2.6750000000000003,0.0,0.0,4.496142686062571,0.0
2.725,0.0,0.0,4.665788689356426,0.0
2.7750000000000004,0.0,0.0,4.838576285303901,0.0
2.825,0.0,0.0,5.014505473904892,0.0
2.875,0.0,0.0,5.193576255159561,0.0
2.9250000000000003,0.0,0.0,5.375788629067717,0.0
2.975,0.0,0.0,5.561142595629507,0.0
3.0250000000000004,0.0,0.0,5.749638154844946,0.0
3.075,0.0,0.0,5.941275306713886,0.0
3.125,0.0,0.0,6.13605405123649,0.0
3.1750000000000003,0.0,0.0,6.33397438841261,0.0
3.225,0.0,0.0,6.5350363182423346,0.0
3.2750000000000004,0.0,0.0,6.739239840725753,0.0
3.325,0.0,0.0,6.9465849558625985,0.0
3.375,0.0,0.0,7.157071663653167,0.0
3.4250000000000003,0.0,0.0,7.370699964097251,0.0
3.475,0.0,0.0,7.587469857194911,0.0
3.5250000000000004,0.0,0.0,7.807381342946264,0.0
3.575,0.0,0.0,8.030434421351103,0.0
3.625,0.0,0.0,8.256629092409607,0.0
3.6750000000000003,0.0,0.0,8.485965356121596,0.0
3.725,0.0,0.0,8.71844321248725,0.0
3.7750000000000004,0.0,0.0,8.954062661506567,0.0
3.825,0.0,0.0,9.19282370317928,0.0
3.875,0.0,0.0,9.43472633750581,0.0
3.9250000000000003,29.752771316362477,2.0,9.679770564485702,0.5
3.975,0.0,0.0,9.927956384119321,0.5
4.025,14.146378358252989,1.0,10.179283796406484,0.75
4.075,0.0,0.0,10.433752801347431,0.75
4.125,0.0,0.0,10.691363398941654,0.75
4.175000000000001,13.148144650896223,1.0,10.952115589189573,1.0
4.225,0.0,0.0,11.216009372091126,1.0
4.275,0.0,0.0,11.483044747646252,1.0
4.325,0.0,0.0,11.753221715855194,1.0
4.375,0.0,0.0,12.026540276717293,1.0
4.425000000000001,0.0,0.0,12.303000430233146,1.0
4.475,0.0,0.0,12.582602176402693,1.0
4.525,0.0,0.0,12.865345515225755,1.0
4.575,0.0,0.0,13.15123044670263,1.0
4.625,0.0,0.0,13.440256970832722,1.0
4.675000000000001,0.0,0.0,13.73242508761651,1.0
4.725,0.0,0.0,14.027734797053991,1.0
4.775,0.0,0.0,14.326186099145287,1.0
4.825000000000001,0.0,0.0,14.62777899388962,1.0
4.875,0.0,0.0,14.932513481287828,1.0
4.925000000000001,0.0,0.0,15.240389561339608,1.0
4.975,0.0,0.0,15.551407234045024,1.0
5.025,0.0,0.0,15.865566499404254,1.0
5.075000000000001,0.0,0.0,16.182867357416583,1.0
5.125,0.0,0.0,16.503309808082783,1.0
5.175000000000001,8.557729149043084,1.0,16.82689385140238,1.25
5.225,8.394729759860672,1.0,17.15361948737585,1.5
5.275,0.0,0.0,17.483486716003075,1.5
5.325000000000001,0.0,0.0,17.816495537283217,1.5
5.375,0.0,0.0,18.15264595121735,1.5
5.425000000000001,0.0,0.0,18.491937957805124,1.5
5.475,0.0,0.0,18.83437155704629,1.5
5.525,0.0,0.0,19.179946748941568,1.5
5.575000000000001,0.0,0.0,19.528663533489645,1.5
5.625,0.0,0.0,19.880521910691716,1.5
5.675000000000001,0.0,0.0,20.23552188054742,1.5
5.725,0.0,0.0,20.59366344305664,1.5
5.775,0.0,0.0,20.954946598219852,1.5
5.825000000000001,0.0,0.0,21.319371346035865,1.5
5.875,0.0,0.0,21.68693768650587,1.5
5.925000000000001,0.0,0.0,22.05764561962939,1.5
5.975,0.0,0.0,22.431495145406664,1.5
